resume_text,field
"Skilled in React, Node.js, Express, and MongoDB. Built several web apps.",Web Development
"Experienced with TensorFlow, Keras, Pandas, and machine learning algorithms.",Data Science
"Worked on Android apps using Java, Kotlin, and Android Studio.",Android Development
"Developed iOS applications using Swift, Xcode, and Cocoa Touch.",iOS Development
"Designed wireframes and prototypes using Figma, Adobe XD, and Photoshop.",UI/UX Design
"Built APIs using Django and Flask, and deployed on Heroku.",Web Development
"Analyzed data using Python, NumPy, Scikit-learn, and Matplotlib.",Data Science
Created Android utilities and published apps to Google Play Store.,Android Development
"Experience in Objective-C, UIKit, and iOS SDK.",iOS Development
Conducted user research and created interactive designs with Sketch.,UI/UX Design
Built RESTful APIs and integrated frontend with React.,Web Development
Developed recommendation engine using collaborative filtering in Python.,Data Science
Built cross-platform mobile apps using Flutter and Dart.,Android Development
Used Auto Layout and Storyboards to build responsive iOS UIs.,iOS Development
Created design systems and user journeys in Adobe Illustrator.,UI/UX Design
